cod_usuario,cod_produto,data_compra,quantidade,valor
544,10,2021-01-13,11,7698.9
1474,15,2021-06-24,15,74.85
3176,7,2020-05-03,14,18206.86
649,17,2021-07-13,11,6425.1
1023,11,2020-03-19,13,648.7
2837,18,2020-12-17,3,23.7
2154,5,2021-06-07,1,437
1012,14,2019-03-16,4,555.96
2969,10,2020-03-20,18,12598.2
2689,16,2021-07-18,15,75
1968,21,2021-04-24,6,35994.6
2062,13,2021-06-27,4,39.6
1194,4,2021-07-18,6,353.4
590,6,2021-05-29,13,11698.7
1298,3,2021-07-06,1,2049.5
1211,7,2021-05-27,14,18206.86
698,10,2021-07-24,17,11898.3
1520,6,2020-06-15,9,8099.1
1058,3,2021-02-07,15,30742.5
1726,9,2021-06-20,12,4669.2
577,15,2021-06-14,11,54.89
1487,9,2020-06-12,9,3501.9
2631,5,2021-04-17,3,1311
3385,5,2019-01-05,11,4807
1102,16,2021-03-16,7,35
156,7,2020-09-19,3,3901.47
1757,8,2021-06-29,15,3293.55
2068,20,2019-07-16,9,1169.1
2225,5,2019-11-10,10,4370
863,11,2021-01-17,7,349.3
2111,16,2021-06-09,20,100
1972,15,2021-01-23,17,84.83
2698,7,2020-10-03,6,7802.94
1454,6,2021-07-21,14,12598.6
543,12,2020-01-01,7,542.5
1001,16,2020-08-10,6,30
57,8,2021-07-28,15,3293.55
875,14,2020-10-07,8,1111.92
2151,1,2021-07-25,9,41318.1
1272,6,2021-05-10,9,8099.1
3374,11,2019-06-05,14,698.6
1817,10,2020-07-18,17,11898.3
2724,19,2020-03-17,19,47498.1
3141,9,2021-03-09,14,5447.4
281,19,2020-05-08,5,12499.5
1598,6,2018-03-24,9,8099.1
1627,11,2020-08-16,4,199.6
1497,1,2021-03-19,15,68863.5
346,3,2021-05-07,15,30742.5
2905,13,2021-02-21,6,59.4
2479,2,2021-01-28,2,2691.56
2670,9,2020-11-25,6,2334.6
88,7,2020-11-02,13,16906.37
1009,21,2021-02-15,16,95985.6
1138,9,2020-06-15,7,2723.7
3386,21,2020-12-23,13,77988.3
3165,3,2020-09-30,18,36891
41,13,2021-06-09,18,178.2
343,20,2021-01-29,3,389.7
2778,10,2021-07-04,15,10498.5
2847,15,2020-06-21,15,74.85
1167,16,2020-09-10,5,25
2303,7,2020-07-27,4,5201.96
3401,3,2019-11-04,10,20495
673,20,2021-07-14,6,779.4
2105,6,2021-03-29,18,16198.2
1665,17,2021-06-07,3,1752.3
37,4,2021-01-21,9,530.1
2148,16,2020-11-20,1,5
1604,6,2020-12-24,15,13498.5
2092,20,2021-06-16,2,259.8
467,8,2021-05-25,8,1756.56
308,14,2020-11-16,6,833.94
1839,8,2020-04-25,10,2195.7
2391,6,2021-04-21,10,8999
2986,14,2021-07-29,3,416.97
2856,2,2020-12-13,4,5383.12
453,7,2021-07-08,6,7802.94
1106,2,2021-06-16,3,4037.34
2371,8,2021-07-23,1,219.57
609,2,2020-01-06,9,12112.02
532,6,2019-12-27,19,17098.1
2366,9,2021-01-30,19,7392.9
1907,2,2020-05-05,5,6728.9
3172,3,2019-06-14,6,12297
694,6,2021-07-10,18,16198.2
2929,5,2021-05-26,7,3059
2761,4,2021-02-23,11,647.9
2144,1,2020-07-20,15,68863.5
990,16,2021-01-12,19,95
1819,17,2020-03-20,1,584.1
1417,5,2020-04-20,14,6118
861,11,2021-06-25,10,499
3282,21,2021-07-12,16,95985.6
3262,3,2020-07-01,10,20495
3380,17,2019-03-08,10,5841
949,18,2020-09-18,9,71.1
257,6,2019-07-14,13,11698.7
365,17,2020-02-18,7,4088.7
1743,16,2020-12-23,20,100
2198,7,2021-07-23,4,5201.96
3133,6,2020-03-28,20,17998
1689,12,2021-06-27,16,1240
440,17,2021-05-26,9,5256.9
1146,8,2021-01-09,9,1976.13
837,8,2021-03-12,16,3513.12
177,8,2021-03-21,15,3293.55
1933,10,2021-02-03,2,1399.8
722,19,2021-06-20,11,27498.9
3069,5,2019-09-07,6,2622
3391,19,2020-05-20,2,4999.8
1221,11,2020-10-13,2,99.8
16,21,2021-05-09,11,65990.1
1262,5,2021-04-09,11,4807
2475,21,2021-06-05,1,5999.1
1408,13,2021-05-02,14,138.6
2629,3,2021-02-11,13,26643.5
3204,13,2019-03-03,17,168.3
434,17,2021-06-12,2,1168.2
2069,11,2018-09-04,11,548.9
3237,17,2020-03-19,2,1168.2
390,1,2021-05-09,20,91818
713,15,2020-08-29,4,19.96
1963,4,2020-10-11,8,471.2
3254,15,2020-08-25,11,54.89
2673,14,2021-07-29,13,1806.87
2947,19,2021-01-27,19,47498.1
1527,17,2021-01-08,6,3504.6
695,8,2020-06-07,1,219.57
3329,7,2020-05-25,16,20807.84
27,16,2020-12-26,13,65
2829,19,2019-07-05,8,19999.2
104,5,2021-07-30,4,1748
3354,18,2019-03-13,15,118.5
1234,7,2020-04-13,1,1300.49
1129,15,2020-10-16,18,89.82
591,18,2019-08-21,20,158
2997,3,2021-07-20,12,24594
579,18,2019-08-16,7,55.3
2551,17,2021-05-07,10,5841
2433,17,2021-07-20,18,10513.8
2246,4,2018-09-28,19,1119.1
2,21,2021-05-17,3,17997.3
3197,1,2020-10-01,16,73454.4
1154,15,2019-08-13,10,49.9
197,17,2021-03-08,6,3504.6
1004,12,2020-10-15,10,775
1091,6,2021-06-21,8,7199.2
1959,7,2021-07-15,16,20807.84
1246,8,2021-01-15,15,3293.55
262,18,2021-04-15,2,15.8
982,5,2021-01-05,17,7429
2031,1,2019-07-23,17,78045.3
1302,21,2021-07-02,3,17997.3
248,17,2021-06-21,5,2920.5
2423,3,2020-12-29,17,34841.5
651,11,2019-08-04,5,249.5
2056,14,2020-03-12,17,2362.83
3390,19,2019-09-09,20,49998
1555,17,2020-09-12,5,2920.5
237,17,2020-11-19,16,9345.6
2673,20,2021-06-29,11,1428.9
2309,12,2020-08-26,14,1085
1450,9,2021-06-14,6,2334.6
1742,7,2020-05-05,4,5201.96
2153,1,2020-06-11,20,91818
176,16,2020-01-08,4,20
2056,17,2020-01-09,19,11097.9
1752,16,2020-12-03,20,100
1475,8,2021-02-24,12,2634.84
1452,17,2020-10-23,18,10513.8
1501,15,2021-07-28,1,4.99
389,6,2021-07-05,4,3599.6
2567,18,2019-11-11,14,110.6
453,15,2021-07-11,2,9.98
285,7,2021-07-27,6,7802.94
695,6,2020-10-11,3,2699.7
1940,10,2021-06-16,6,4199.4
2722,4,2021-07-26,9,530.1
2895,19,2019-11-13,19,47498.1
2099,20,2020-12-17,8,1039.2
1686,12,2020-10-29,5,387.5
368,21,2021-01-27,11,65990.1
83,20,2021-01-04,10,1299
2515,5,2021-05-20,3,1311
3344,17,2021-05-07,14,8177.4
507,6,2021-06-11,13,11698.7
2462,4,2020-04-21,12,706.8
2586,7,2020-11-23,8,10403.92
2687,6,2020-03-18,18,16198.2
116,14,2021-07-12,2,277.98
146,16,2021-03-27,19,95
2949,18,2020-11-20,2,15.8
780,7,2020-09-08,16,20807.84
672,14,2020-11-27,16,2223.84
2778,8,2021-06-07,9,1976.13
3251,12,2021-07-22,18,1395
3108,15,2021-04-30,16,79.84
1907,7,2019-04-27,5,6502.45
2518,19,2020-05-17,1,2499.9
873,16,2020-09-06,19,95
3334,7,2020-03-09,2,2600.98
637,8,2021-04-22,3,658.71
1825,17,2020-09-10,10,5841
1314,12,2020-09-22,16,1240
2843,10,2021-04-07,6,4199.4
976,3,2019-09-12,16,32792
3241,16,2021-04-18,9,45
2948,13,2019-09-29,17,168.3
2514,18,2021-07-03,3,23.7
1254,7,2021-07-22,3,3901.47
1047,20,2019-12-01,13,1688.7
3050,18,2020-12-04,13,102.7
76,2,2021-01-23,13,17495.14
2166,1,2021-04-30,1,4590.9
1574,5,2021-05-11,6,2622
1126,20,2021-06-17,10,1299
3383,16,2021-01-22,15,75
1632,15,2021-07-17,9,44.91
3246,3,2019-11-28,11,22544.5
1357,6,2021-03-31,10,8999
1565,12,2020-11-10,20,1550
725,14,2020-05-30,20,2779.8
2942,5,2019-12-09,12,5244
2347,9,2019-10-24,9,3501.9
1447,19,2019-12-11,20,49998
1866,7,2021-06-14,18,23408.82
463,10,2021-04-14,2,1399.8
2224,2,2020-12-03,5,6728.9
1352,9,2021-02-20,1,389.1
1244,10,2021-04-18,19,13298.1
1352,18,2021-04-06,20,158
71,19,2021-06-30,13,32498.7
2792,3,2021-07-27,12,24594
2710,6,2020-07-02,17,15298.3
2698,21,2020-12-30,20,119982
2872,9,2020-05-06,13,5058.3
1031,9,2020-12-28,20,7782
2044,9,2021-05-21,11,4280.1
94,1,2020-09-16,19,87227.1
1069,14,2021-02-21,2,277.98
3308,5,2020-05-11,13,5681
562,12,2020-06-14,3,232.5
173,6,2021-03-03,19,17098.1
2408,9,2020-01-27,18,7003.8
1999,12,2020-12-27,15,1162.5
3177,17,2021-06-22,11,6425.1
1156,5,2021-03-15,5,2185
851,19,2021-06-29,20,49998
2703,5,2020-08-10,12,5244
2599,4,2021-04-29,16,942.4
107,11,2021-02-28,4,199.6
81,16,2019-08-28,8,40
908,5,2021-05-18,14,6118
2768,4,2021-02-15,16,942.4
1924,17,2021-06-11,18,10513.8
1538,13,2020-11-12,6,59.4
940,5,2021-06-25,18,7866
1233,5,2019-08-10,16,6992
866,20,2021-04-20,4,519.6
3407,7,2021-07-31,16,20807.84
3024,10,2021-01-20,15,10498.5
3359,1,2019-07-09,9,41318.1
1030,17,2019-06-08,7,4088.7
698,5,2020-11-26,6,2622
2384,15,2019-10-16,14,69.86
3271,11,2020-12-08,19,948.1
349,21,2020-07-10,4,23996.4
2366,3,2021-05-13,1,2049.5
2602,19,2021-07-30,1,2499.9
83,6,2021-05-05,20,17998
1120,10,2020-11-07,14,9798.6
1778,14,2020-07-05,16,2223.84
822,4,2020-12-23,11,647.9
747,20,2021-04-06,14,1818.6
1519,21,2019-03-30,12,71989.2
1360,12,2021-04-10,9,697.5
1517,11,2021-03-31,17,848.3
1401,5,2020-12-24,19,8303
849,19,2021-02-24,7,17499.3
1881,2,2018-04-30,12,16149.36
121,6,2019-12-13,2,1799.8
1836,13,2019-07-08,6,59.4
1071,12,2021-05-05,8,620
2093,15,2021-07-23,12,59.88
674,7,2020-09-18,17,22108.33
2947,19,2021-07-05,9,22499.1
1098,10,2020-10-05,15,10498.5
1244,6,2021-04-12,18,16198.2
2131,1,2021-01-11,9,41318.1
3205,13,2020-06-30,19,188.1
3162,1,2021-04-23,9,41318.1
2900,21,2019-06-05,15,89986.5
76,13,2021-06-16,7,69.3
2100,3,2019-11-25,7,14346.5
812,12,2021-03-31,15,1162.5
3119,14,2021-01-11,11,1528.89
1232,7,2021-05-14,7,9103.43
1711,6,2021-02-22,14,12598.6
2423,5,2020-04-02,16,6992
2701,8,2020-09-29,12,2634.84
1095,11,2020-07-07,4,199.6
1011,5,2020-03-09,14,6118
861,11,2021-06-28,6,299.4
3073,12,2021-03-17,17,1317.5
3222,3,2019-10-30,9,18445.5
141,19,2019-03-08,4,9999.6
3149,6,2020-01-04,18,16198.2
2582,4,2021-02-19,4,235.6
1125,14,2020-12-21,11,1528.89
1922,9,2020-01-19,16,6225.6
2610,8,2020-04-09,4,878.28
2862,13,2019-01-02,1,9.9
783,11,2019-08-02,11,548.9
950,13,2020-07-08,12,118.8
2250,14,2019-12-17,17,2362.83
2009,9,2021-06-13,8,3112.8
1168,8,2020-09-08,19,4171.83
651,4,2019-09-26,10,589
2353,19,2019-04-02,5,12499.5
3058,21,2020-03-06,18,107983.8
427,7,2021-05-09,2,2600.98
1457,9,2021-01-06,15,5836.5
1686,11,2021-07-02,4,199.6
2410,5,2021-01-10,13,5681
914,6,2021-07-04,5,4499.5
2233,11,2020-10-18,13,648.7
2731,3,2021-06-09,10,20495
401,7,2020-06-20,2,2600.98
1225,2,2021-06-13,4,5383.12
367,4,2020-11-24,8,471.2
1459,19,2020-04-04,11,27498.9
1264,18,2021-06-04,1,7.9
367,11,2020-12-23,7,349.3
2733,9,2021-04-14,16,6225.6
2923,13,2020-07-15,17,168.3
473,8,2021-07-05,8,1756.56
17,4,2021-05-15,6,353.4
3348,10,2021-04-21,18,12598.2
635,7,2019-08-30,11,14305.39
2084,21,2021-05-18,11,65990.1
1785,21,2020-01-18,15,89986.5
1432,13,2021-06-03,13,128.7
610,6,2020-07-22,7,6299.3
2365,5,2021-03-12,8,3496
2608,18,2021-07-10,4,31.6
314,5,2020-08-27,2,874
2082,1,2019-03-19,11,50499.9
2469,12,2021-04-03,11,852.5
1731,1,2019-01-04,2,9181.8
393,14,2021-07-28,2,277.98
3181,16,2019-12-31,12,60
1081,19,2021-02-01,7,17499.3
1150,11,2021-02-17,6,299.4
1104,15,2021-06-26,20,99.8
598,8,2021-07-17,16,3513.12
1118,3,2021-07-22,8,16396
307,7,2021-03-08,14,18206.86
1141,5,2021-04-11,10,4370
1503,18,2019-11-17,17,134.3
3221,5,2020-02-03,6,2622
240,8,2021-07-03,12,2634.84
1774,10,2021-03-12,13,9098.7
386,20,2021-02-10,14,1818.6
1008,21,2019-01-07,19,113982.9
3408,21,2021-05-02,7,41993.7
2103,16,2021-01-17,13,65
2849,17,2020-12-14,11,6425.1
21,11,2021-05-09,15,748.5
2980,16,2021-02-07,20,100
228,2,2020-03-24,6,8074.68
994,15,2021-07-14,16,79.84
798,7,2021-07-18,6,7802.94
360,4,2021-03-13,11,647.9
1612,19,2019-04-23,19,47498.1
1748,21,2018-08-08,9,53991.9
236,15,2020-09-20,9,44.91
90,14,2020-09-05,2,277.98
2363,12,2020-05-03,6,465
2860,20,2021-07-28,17,2208.3
1604,17,2020-11-26,8,4672.8
1130,10,2021-07-20,18,12598.2
1156,18,2021-07-26,17,134.3
2782,12,2021-01-16,19,1472.5
1602,2,2020-11-20,13,17495.14
2422,9,2021-07-09,10,3891
2589,14,2020-06-14,6,833.94
453,15,2021-07-27,9,44.91
2582,3,2020-09-09,13,26643.5
45,4,2020-03-23,8,471.2
2169,20,2021-06-27,15,1948.5
1170,18,2020-10-15,6,47.4
2756,19,2020-01-04,19,47498.1
783,14,2020-12-05,19,2640.81
197,4,2021-04-30,17,1001.3
3088,8,2021-04-22,16,3513.12
1333,12,2020-07-16,18,1395
705,2,2021-05-25,4,5383.12
1692,1,2020-11-24,6,27545.4
1228,11,2021-05-22,7,349.3
1770,2,2019-12-13,3,4037.34
608,7,2021-07-06,7,9103.43
1759,2,2021-04-22,2,2691.56
1208,3,2021-07-03,4,8198
874,16,2021-02-15,11,55
854,5,2019-05-15,6,2622
1514,15,2020-09-07,8,39.92
1918,20,2021-06-19,20,2598
2023,21,2019-09-09,14,83987.4
2625,21,2019-01-28,16,95985.6
1928,6,2021-02-28,12,10798.8
1661,14,2020-05-20,17,2362.83
228,4,2021-02-25,19,1119.1
967,9,2021-06-23,2,778.2
1454,4,2021-07-29,8,471.2
2297,13,2019-01-25,16,158.4
1874,5,2020-06-26,19,8303
2682,6,2021-05-20,10,8999
1777,9,2021-04-26,6,2334.6
2629,5,2020-05-05,7,3059
1549,10,2021-05-22,8,5599.2
3168,14,2020-04-23,16,2223.84
2835,7,2019-06-08,12,15605.88
1538,19,2019-11-18,1,2499.9
2018,15,2020-11-16,2,9.98
2517,10,2020-01-12,5,3499.5
1182,9,2020-07-10,4,1556.4
1069,13,2021-03-11,4,39.6
758,2,2021-04-03,6,8074.68
2785,4,2020-09-20,1,58.9
2930,10,2021-06-20,12,8398.8
1095,12,2021-02-26,17,1317.5
3301,21,2020-06-29,5,29995.5
1206,11,2020-10-06,9,449.1
314,19,2020-08-29,11,27498.9
808,13,2021-03-12,2,19.8
575,20,2019-06-29,8,1039.2
3053,2,2020-08-15,1,1345.78
1776,16,2021-05-29,7,35
1584,7,2020-05-25,16,20807.84
1321,11,2021-03-21,8,399.2
65,4,2021-07-21,4,235.6
1492,17,2021-07-17,1,584.1
2926,20,2021-04-09,17,2208.3
2002,16,2019-08-12,12,60
277,3,2021-05-31,15,30742.5
520,5,2021-04-03,11,4807
211,9,2021-07-15,6,2334.6
59,5,2019-11-26,20,8740
980,10,2021-06-19,10,6999
903,17,2020-12-06,16,9345.6
848,2,2021-07-10,19,25569.82
948,8,2019-08-25,1,219.57
1025,18,2021-04-26,15,118.5
1899,15,2019-12-25,15,74.85
2070,9,2020-08-06,8,3112.8
2246,10,2019-03-29,6,4199.4
987,5,2019-12-03,8,3496
1508,4,2021-07-23,13,765.7
556,7,2019-12-22,15,19507.35
2237,16,2020-03-07,2,10
2577,13,2020-04-06,4,39.6
1056,13,2021-06-24,5,49.5
2827,19,2020-12-22,19,47498.1
131,2,2021-03-20,17,22878.26
2650,4,2018-09-30,8,471.2
555,16,2021-01-06,3,15
2376,13,2018-11-07,12,118.8
504,9,2021-06-29,11,4280.1
396,9,2019-07-01,4,1556.4
219,15,2020-02-19,14,69.86
1365,12,2020-10-24,14,1085
840,15,2020-02-16,11,54.89
1806,13,2021-01-30,20,198
1162,12,2021-04-30,10,775
2014,12,2020-04-04,15,1162.5
62,3,2021-06-08,5,10247.5
1726,20,2021-07-30,1,129.9
646,1,2021-06-25,17,78045.3
1548,17,2021-02-21,7,4088.7
2721,18,2020-02-07,12,94.8
1408,15,2021-06-25,12,59.88
1049,3,2020-03-27,13,26643.5
710,17,2021-06-08,3,1752.3
3116,9,2019-12-09,10,3891
3261,1,2021-05-26,4,18363.6
795,11,2021-06-20,14,698.6
2242,9,2019-01-09,10,3891
1365,4,2019-06-28,5,294.5
3015,9,2019-01-12,16,6225.6
226,9,2020-05-04,12,4669.2
256,12,2020-08-17,14,1085
1780,11,2021-05-25,9,449.1
1263,3,2021-04-07,15,30742.5
2719,2,2021-05-19,2,2691.56
2231,17,2020-07-27,10,5841
546,16,2021-01-18,13,65
3062,6,2019-08-01,16,14398.4
2075,17,2020-10-11,1,584.1
1031,10,2019-12-04,9,6299.1
1220,18,2020-08-26,2,15.8
2538,7,2020-12-10,6,7802.94
160,15,2021-05-29,1,4.99
815,7,2021-01-05,5,6502.45
2389,12,2019-09-15,16,1240
354,10,2021-07-29,2,1399.8
2778,19,2021-07-27,1,2499.9
86,16,2020-02-15,2,10
2325,16,2020-09-06,3,15
2899,11,2019-11-05,20,998
612,18,2020-06-06,7,55.3
70,2,2021-02-21,16,21532.48
2370,6,2020-04-24,20,17998
1934,9,2021-05-25,8,3112.8
1225,10,2021-05-20,13,9098.7
942,8,2021-01-09,20,4391.4
225,1,2021-03-24,13,59681.7
1913,10,2021-02-24,11,7698.9
570,8,2020-07-26,4,878.28
417,19,2021-05-23,19,47498.1
1959,12,2021-07-28,18,1395
2947,5,2021-03-14,13,5681
1173,7,2020-12-04,8,10403.92
2998,7,2021-07-12,2,2600.98
261,12,2021-07-28,12,930
795,18,2021-04-14,10,79
2017,14,2018-09-02,2,277.98
1067,19,2021-05-04,8,19999.2
3308,1,2019-09-02,6,27545.4
3262,17,2021-06-12,17,9929.7
3194,2,2020-01-14,20,26915.6
1809,5,2020-06-08,11,4807
2977,20,2021-01-22,6,779.4
1924,1,2021-06-01,13,59681.7
2145,12,2019-05-17,12,930
943,20,2021-06-05,8,1039.2
790,5,2021-07-25,7,3059
1720,17,2021-06-06,10,5841
1407,6,2021-07-26,15,13498.5
2846,20,2020-01-08,4,519.6
1601,2,2021-02-03,16,21532.48
3357,11,2020-07-08,18,898.2
371,20,2020-07-08,6,779.4
204,14,2020-07-18,3,416.97
142,13,2021-03-02,19,188.1
1949,4,2021-04-02,2,117.8
1413,21,2020-01-20,2,11998.2
559,5,2020-10-29,2,874
611,7,2021-05-02,2,2600.98
1212,3,2020-01-19,10,20495
2872,8,2021-07-25,10,2195.7
2153,15,2020-10-28,19,94.81
2158,12,2018-12-03,11,852.5
268,1,2020-10-09,8,36727.2
1020,12,2021-03-31,4,310
3007,14,2021-03-07,18,2501.82
2705,10,2020-09-11,8,5599.2
2556,12,2019-07-06,13,1007.5
2316,6,2020-12-01,12,10798.8
3187,10,2021-01-20,12,8398.8
2952,14,2021-07-30,20,2779.8
3373,14,2020-10-25,20,2779.8
2358,8,2019-12-05,5,1097.85
2977,5,2021-06-24,2,874
1675,18,2020-08-19,6,47.4
1977,11,2020-05-07,11,548.9
2905,6,2021-04-05,20,17998
1850,9,2020-04-08,7,2723.7
1410,12,2020-03-25,10,775
1994,4,2018-11-21,1,58.9
911,16,2020-12-08,10,50
3218,6,2020-02-05,2,1799.8
2161,19,2021-06-15,16,39998.4
3058,16,2020-04-23,4,20
2744,10,2020-11-23,4,2799.6
581,15,2021-05-09,8,39.92
1140,4,2019-08-05,4,235.6
75,7,2020-10-12,8,10403.92
173,16,2021-04-07,12,60
759,17,2021-03-11,13,7593.3
3160,9,2021-05-17,12,4669.2
782,7,2021-04-23,4,5201.96
1187,19,2020-09-28,7,17499.3
1320,14,2021-02-02,15,2084.85
1767,10,2020-01-06,19,13298.1
1592,3,2021-07-05,5,10247.5
3365,17,2021-07-22,7,4088.7
2478,18,2018-09-17,12,94.8
2149,5,2021-05-27,5,2185
2217,17,2019-06-26,1,584.1
889,20,2020-12-30,15,1948.5
1195,12,2021-07-31,10,775
1497,21,2021-01-12,19,113982.9
1596,5,2021-01-06,6,2622
2843,6,2020-04-23,5,4499.5
1244,19,2021-04-10,5,12499.5
1100,10,2021-07-29,9,6299.1
809,7,2021-01-28,17,22108.33
1311,5,2020-11-18,20,8740
