cod_usuario,data_cadastro,faixa_etaria,cidade,estado
31286,2021-01-13,Entre 62 a 70 anos,Magda,São Paulo
31765,2019-03-16,Mais de 70 anos,São Bernardo,Maranhão
32872,2020-10-05,Entre 28 a 36 anos,Imaculada,Paraíba
32932,2019-02-04,Entre 28 a 36 anos,Faxinal,Paraná
33574,2020-05-19,Entre 22 a 27 anos,Itaquaquecetuba,São Paulo
33661,2020-04-29,Entre 22 a 27 anos,Ipiranga do Piauí,Piauí
33684,2020-06-21,Entre 50 a 61 anos,Santa Maria do Oeste,Paraná
33869,2021-03-15,Entre 37 a 49 anos,São Sebastião do Rio Preto,Minas Gerais
34126,2020-11-11,Entre 16 a 21 anos,Águas de Santa Bárbara,São Paulo
34180,2020-04-26,Entre 62 a 70 anos,Alfredo Marcondes,São Paulo
34232,2019-05-24,Entre 50 a 61 anos,Coronel Murta,Minas Gerais
34324,2021-07-28,Entre 10 a 15 anos,Corumbá,Mato Grosso do Sul
35041,2020-12-21,Mais de 70 anos,Cristiano Otoni,Minas Gerais
35167,2019-01-31,Mais de 70 anos,São Pedro da União,Minas Gerais
35524,2021-01-11,Entre 50 a 61 anos,Tanabi,São Paulo
35656,2021-06-11,Entre 16 a 21 anos,Prado Ferreira,Paraná
35700,2021-06-22,Entre 50 a 61 anos,Ubaitaba,Bahia
35855,2019-11-02,Entre 37 a 49 anos,Lagoa de Velhos,Rio Grande do Norte
36314,2021-04-14,Entre 22 a 27 anos,Esmeralda,Rio Grande do Sul
36354,2020-05-25,Mais de 70 anos,Pajeú do Piauí,Piauí
36548,2019-03-03,Entre 10 a 15 anos,Nova Resende,Minas Gerais
36738,2020-04-21,Entre 28 a 36 anos,Jacareí,São Paulo
36742,2021-01-17,Entre 50 a 61 anos,Novo Horizonte do Norte,Mato Grosso
36935,2021-05-25,Entre 28 a 36 anos,Brejões,Bahia
37127,2019-07-31,Entre 37 a 49 anos,Itarantim,Bahia
37331,2019-07-17,Entre 22 a 27 anos,Parobé,Rio Grande do Sul
38002,2021-07-21,Entre 62 a 70 anos,Araranguá,Santa Catarina
38248,2021-07-03,Entre 16 a 21 anos,Rio do Prado,Minas Gerais
38779,2019-02-27,Entre 16 a 21 anos,Cidelândia,Maranhão
38819,2020-10-12,Entre 22 a 27 anos,Alto Piquiri,Paraná
39239,2020-10-23,Entre 16 a 21 anos,Passa Quatro,Minas Gerais
39388,2020-09-20,Entre 62 a 70 anos,Lauro de Freitas,Bahia
39635,2019-11-30,Entre 62 a 70 anos,Mirassol d'Oeste,Mato Grosso
40009,2020-07-27,Entre 16 a 21 anos,Teutônia,Rio Grande do Sul
40109,2021-01-14,Mais de 70 anos,São Gabriel do Oeste,Mato Grosso do Sul
40147,2019-10-11,Entre 50 a 61 anos,Jacutinga,Minas Gerais
40173,2019-04-12,Entre 28 a 36 anos,Chã de Alegria,Pernambuco
40378,2020-10-11,Entre 22 a 27 anos,Nova Canaã do Norte,Mato Grosso
40410,2021-02-27,Entre 28 a 36 anos,Jupi,Pernambuco
41033,2019-12-28,Entre 16 a 21 anos,Afonso Cunha,Maranhão
41037,2020-02-08,Entre 22 a 27 anos,Borborema,São Paulo
41337,2019-05-19,Entre 37 a 49 anos,Sabáudia,Paraná
41409,2021-05-30,Entre 28 a 36 anos,Carnaubeira da Penha,Pernambuco
41835,2020-10-11,Entre 50 a 61 anos,Maxaranguape,Rio Grande do Norte
42252,2019-03-03,Entre 16 a 21 anos,Itaguaçu da Bahia,Bahia
42918,2020-07-06,Entre 50 a 61 anos,Taquaraçu de Minas,Minas Gerais
43018,2019-01-10,Mais de 70 anos,Bonito,Bahia
43211,2020-01-02,Entre 50 a 61 anos,Ibicuí,Bahia
44180,2019-02-25,Entre 62 a 70 anos,Antônio Prado,Rio Grande do Sul
44271,2020-03-02,Entre 62 a 70 anos,Ubaporanga,Minas Gerais
44283,2021-02-03,Entre 50 a 61 anos,Benevides,Pará
44311,2020-05-17,Entre 37 a 49 anos,Pedra Preta,Mato Grosso
44911,2019-08-03,Entre 22 a 27 anos,Major Vieira,Santa Catarina
45205,2021-03-09,Entre 62 a 70 anos,Inhangapi,Pará
45393,2021-01-19,Entre 16 a 21 anos,Amarante do Maranhão,Maranhão
46826,2019-04-09,Entre 16 a 21 anos,Sananduva,Rio Grande do Sul
46988,2020-09-04,Entre 28 a 36 anos,São Miguel de Taipu,Paraíba
47355,2020-11-23,Entre 22 a 27 anos,Estrela,Rio Grande do Sul
47514,2020-12-17,Entre 37 a 49 anos,Chiador,Minas Gerais
47909,2019-07-23,Entre 16 a 21 anos,Canoas,Rio Grande do Sul
47983,2019-06-23,Mais de 70 anos,Tupanciretã,Rio Grande do Sul
48286,2019-12-13,Entre 22 a 27 anos,Congonhinhas,Paraná
48449,2020-04-19,Entre 28 a 36 anos,Itapetim,Pernambuco
48943,2020-02-22,Entre 50 a 61 anos,Araporã,Minas Gerais
49534,2019-07-25,Entre 28 a 36 anos,Dois Irmãos do Buriti,Mato Grosso do Sul
49670,2020-03-14,Entre 37 a 49 anos,Sagrada Família,Rio Grande do Sul
50207,2020-01-28,Entre 37 a 49 anos,Mirante da Serra,Rondônia
50732,2021-04-18,Mais de 70 anos,Santaluz,Bahia
50939,2019-09-13,Mais de 70 anos,Francisco Macedo,Piauí
51510,2020-01-03,Entre 50 a 61 anos,São José do Belmonte,Pernambuco
51594,2019-05-05,Entre 62 a 70 anos,Chapadão do Lageado,Santa Catarina
51941,2019-09-02,Entre 62 a 70 anos,Honório Serpa,Paraná
52633,2019-11-20,Entre 10 a 15 anos,Faina,Goiás
52714,2021-04-24,Entre 28 a 36 anos,Itaporanga,São Paulo
52763,2019-07-13,Entre 62 a 70 anos,Nantes,São Paulo
53204,2019-12-06,Mais de 70 anos,Lambari,Minas Gerais
55092,2021-01-07,Entre 62 a 70 anos,Arroio do Padre,Rio Grande do Sul
55540,2020-11-01,Entre 10 a 15 anos,São Raimundo das Mangabeiras,Maranhão
55573,2020-02-28,Entre 22 a 27 anos,Horizonte,Ceará
56480,2021-03-30,Entre 28 a 36 anos,Boa Vista do Buricá,Rio Grande do Sul
56701,2020-09-14,Mais de 70 anos,Tombos,Minas Gerais
56705,2021-02-13,Entre 16 a 21 anos,Lauro Müller,Santa Catarina
57564,2019-07-02,Entre 28 a 36 anos,Sobradinho,Rio Grande do Sul
57674,2019-11-03,Mais de 70 anos,Teresópolis,Rio de Janeiro
57960,2019-08-13,Entre 50 a 61 anos,União do Oeste,Santa Catarina
58644,2021-04-29,Entre 37 a 49 anos,Fagundes,Paraíba
58655,2020-09-28,Entre 28 a 36 anos,Oliveira de Fátima,Tocantins
58659,2019-01-07,Mais de 70 anos,Mercês,Minas Gerais
58964,2020-02-05,Mais de 70 anos,Paula Cândido,Minas Gerais
58972,2020-03-17,Mais de 70 anos,Guiricema,Minas Gerais
59019,2020-08-29,Entre 37 a 49 anos,Colíder,Mato Grosso
59237,2021-05-27,Entre 28 a 36 anos,Fortaleza de Minas,Minas Gerais
59290,2020-08-04,Entre 16 a 21 anos,Soledade de Minas,Minas Gerais
60148,2019-12-05,Entre 10 a 15 anos,Boqueirão do Piauí,Piauí
60298,2019-07-31,Entre 28 a 36 anos,Capão Bonito,São Paulo
60944,2020-03-20,Entre 10 a 15 anos,Santana de Mangueira,Paraíba
61589,2021-04-02,Entre 22 a 27 anos,Itumbiara,Goiás
61662,2020-07-15,Entre 28 a 36 anos,Avelino Lopes,Piauí
61725,2019-12-14,Entre 50 a 61 anos,Marzagão,Goiás
62016,2021-06-20,Entre 62 a 70 anos,Palmeiras,Bahia
62584,2019-12-06,Entre 50 a 61 anos,Bonfim,Minas Gerais
62726,2019-10-08,Entre 50 a 61 anos,Propriá,Sergipe
63095,2021-03-20,Entre 22 a 27 anos,Areia Branca,Rio Grande do Norte
63371,2020-06-21,Mais de 70 anos,Conceição do Araguaia,Pará
63395,2021-02-23,Entre 22 a 27 anos,Nazaré do Piauí,Piauí
63523,2020-09-05,Entre 28 a 36 anos,Matias Barbosa,Minas Gerais
63640,2020-03-07,Entre 22 a 27 anos,Pedras de Fogo,Paraíba
64099,2020-08-17,Entre 16 a 21 anos,Rio Novo do Sul,Espírito Santo
64684,2021-03-25,Entre 22 a 27 anos,Taiúva,São Paulo
65417,2020-06-25,Entre 50 a 61 anos,Erechim,Rio Grande do Sul
65485,2020-09-06,Mais de 70 anos,Buriti Bravo,Maranhão
66240,2019-08-20,Entre 37 a 49 anos,Guaranésia,Minas Gerais
66626,2021-04-03,Entre 50 a 61 anos,Itaguaçu,Espírito Santo
66879,2021-03-31,Entre 22 a 27 anos,Pedras Grandes,Santa Catarina
67489,2019-09-24,Entre 16 a 21 anos,São João da Varjota,Piauí
67820,2021-03-15,Entre 37 a 49 anos,Arapoema,Tocantins
68090,2019-02-19,Entre 28 a 36 anos,Louveira,São Paulo
68322,2019-04-30,Entre 22 a 27 anos,Itapaci,Goiás
68559,2021-07-12,Entre 22 a 27 anos,Terra Roxa,Paraná
68677,2019-04-18,Entre 16 a 21 anos,Baía Formosa,Rio Grande do Norte
69054,2021-01-12,Mais de 70 anos,Conquista D'Oeste,Mato Grosso
69184,2019-08-10,Entre 22 a 27 anos,Mococa,São Paulo
69399,2020-05-09,Entre 50 a 61 anos,Muniz Freire,Espírito Santo
69466,2019-02-28,Entre 28 a 36 anos,Candelária,Rio Grande do Sul
69692,2019-06-18,Entre 10 a 15 anos,Mundo Novo,Bahia
70156,2020-08-29,Entre 37 a 49 anos,Camboriú,Santa Catarina
70489,2019-10-18,Entre 50 a 61 anos,Oliveira,Minas Gerais
71364,2019-10-13,Entre 50 a 61 anos,Padre Carvalho,Minas Gerais
71738,2020-12-31,Entre 22 a 27 anos,Nova Guataporanga,São Paulo
71823,2020-11-17,Mais de 70 anos,São Gabriel,Bahia
71864,2021-03-30,Entre 22 a 27 anos,Santa Bárbara do Monte Verde,Minas Gerais
72112,2021-01-13,Entre 28 a 36 anos,Comendador Levy Gasparian,Rio de Janeiro
72273,2020-05-10,Entre 22 a 27 anos,Veredinha,Minas Gerais
72483,2019-06-07,Entre 22 a 27 anos,Arandu,São Paulo
72570,2021-05-03,Entre 22 a 27 anos,Ribeirão Claro,Paraná
72762,2020-01-07,Mais de 70 anos,Bom Sucesso de Itararé,São Paulo
73238,2019-01-25,Entre 22 a 27 anos,São Tomás de Aquino,Minas Gerais
74056,2019-01-07,Entre 10 a 15 anos,Chapada de Areia,Tocantins
74112,2020-02-23,Entre 22 a 27 anos,Miguelópolis,São Paulo
75257,2020-02-22,Entre 22 a 27 anos,Bom Sucesso do Sul,Paraná
75451,2020-01-28,Entre 10 a 15 anos,Monsenhor Tabosa,Ceará
75857,2019-10-15,Entre 22 a 27 anos,Cacimbas,Paraíba
76006,2019-11-18,Entre 28 a 36 anos,Malhada dos Bois,Sergipe
76528,2019-09-26,Entre 28 a 36 anos,Ibiaí,Minas Gerais
76536,2019-01-18,Entre 28 a 36 anos,Cafelândia,Paraná
76595,2020-11-20,Entre 50 a 61 anos,Pilar,Alagoas
76633,2020-04-20,Entre 50 a 61 anos,Sete Quedas,Mato Grosso do Sul
76658,2019-02-06,Entre 10 a 15 anos,Luislândia,Minas Gerais
76742,2021-03-24,Entre 28 a 36 anos,São Valentim,Rio Grande do Sul
76899,2019-03-28,Entre 22 a 27 anos,Ribeirão do Pinhal,Paraná
77695,2019-04-01,Entre 16 a 21 anos,Fronteira,Minas Gerais
77858,2019-05-05,Mais de 70 anos,Caxias do Sul,Rio Grande do Sul
78916,2019-09-25,Entre 22 a 27 anos,Engenho Velho,Rio Grande do Sul
79061,2021-01-26,Entre 37 a 49 anos,Corumbá,Mato Grosso do Sul
79817,2019-10-10,Entre 28 a 36 anos,Rio do Fogo,Rio Grande do Norte
80683,2021-06-02,Entre 10 a 15 anos,Dionísio Cerqueira,Santa Catarina
80684,2021-06-29,Entre 22 a 27 anos,Colinas,Maranhão
80781,2020-03-10,Entre 22 a 27 anos,Ametista do Sul,Rio Grande do Sul
80934,2021-07-06,Entre 22 a 27 anos,Mara Rosa,Goiás
81676,2019-08-31,Entre 28 a 36 anos,Marzagão,Goiás
82013,2019-02-16,Entre 28 a 36 anos,Bandeira do Sul,Minas Gerais
82192,2020-12-13,Entre 22 a 27 anos,Camanducaia,Minas Gerais
82197,2019-12-12,Entre 10 a 15 anos,Romaria,Minas Gerais
82414,2020-06-09,Entre 28 a 36 anos,Vila Boa,Goiás
82532,2019-06-08,Entre 28 a 36 anos,São José,Santa Catarina
82620,2019-06-02,Entre 62 a 70 anos,Cianorte,Paraná
83402,2019-10-28,Entre 50 a 61 anos,Santa Clara do Sul,Rio Grande do Sul
83718,2021-01-21,Entre 50 a 61 anos,São Miguel dos Milagres,Alagoas
84106,2021-07-20,Entre 28 a 36 anos,Bonfim do Piauí,Piauí
84364,2020-09-20,Entre 37 a 49 anos,Terra Roxa,Paraná
84400,2019-12-19,Entre 37 a 49 anos,Pindorama do Tocantins,Tocantins
85472,2019-08-14,Entre 28 a 36 anos,Três Lagoas,Mato Grosso do Sul
86504,2019-01-08,Entre 37 a 49 anos,Serranópolis,Goiás
86667,2019-10-31,Entre 10 a 15 anos,Elói Mendes,Minas Gerais
87120,2020-03-22,Entre 37 a 49 anos,Camanducaia,Minas Gerais
87284,2020-01-04,Entre 10 a 15 anos,Matriz de Camaragibe,Alagoas
87909,2020-03-31,Entre 50 a 61 anos,Juiz de Fora,Minas Gerais
88107,2021-04-29,Entre 16 a 21 anos,Barra de São Miguel,Alagoas
88389,2020-08-25,Mais de 70 anos,Piranguçu,Minas Gerais
88698,2020-08-26,Entre 28 a 36 anos,Luiz Alves,Santa Catarina
88719,2020-10-01,Entre 10 a 15 anos,Nova Trento,Santa Catarina
88731,2019-02-16,Entre 37 a 49 anos,Paraíso das Águas,Mato Grosso do Sul
88883,2020-04-14,Entre 37 a 49 anos,Tapira,Paraná
88977,2020-01-02,Entre 50 a 61 anos,Cristalândia do Piauí,Piauí
89064,2020-12-12,Entre 28 a 36 anos,Caparaó,Minas Gerais
89068,2019-03-04,Entre 10 a 15 anos,Inhangapi,Pará
89448,2019-12-22,Entre 22 a 27 anos,Toropi,Rio Grande do Sul
89620,2019-06-15,Entre 37 a 49 anos,Balneário Arroio do Silva,Santa Catarina
91155,2019-01-13,Entre 22 a 27 anos,Resende,Rio de Janeiro
91773,2020-02-25,Entre 50 a 61 anos,Dores do Indaiá,Minas Gerais
91933,2020-01-04,Entre 50 a 61 anos,Rio Bonito do Iguaçu,Paraná
92722,2019-01-29,Entre 16 a 21 anos,Garopaba,Santa Catarina
94812,2019-11-13,Mais de 70 anos,Morro da Fumaça,Santa Catarina
94898,2021-03-17,Entre 22 a 27 anos,São João do Manteninha,Minas Gerais
95089,2020-12-31,Entre 22 a 27 anos,Loreto,Maranhão
95221,2021-04-02,Entre 62 a 70 anos,Peixe-Boi,Pará
95676,2019-03-31,Entre 62 a 70 anos,Nicolau Vergueiro,Rio Grande do Sul
95889,2020-05-31,Entre 10 a 15 anos,Ituberá,Bahia
96379,2019-07-10,Entre 28 a 36 anos,Paim Filho,Rio Grande do Sul
97103,2019-03-18,Entre 62 a 70 anos,Jundiaí,São Paulo
97362,2019-05-21,Entre 37 a 49 anos,Orleans,Santa Catarina
97393,2019-11-03,Entre 10 a 15 anos,Aurelino Leal,Bahia
97553,2019-08-22,Mais de 70 anos,Novorizonte,Minas Gerais
98866,2020-12-20,Entre 50 a 61 anos,Cururupu,Maranhão
98882,2019-05-12,Entre 62 a 70 anos,Remanso,Bahia
99084,2020-08-06,Entre 22 a 27 anos,Itápolis,São Paulo
99189,2019-07-12,Entre 28 a 36 anos,Barcarena,Pará
99244,2020-05-02,Mais de 70 anos,Três Corações,Minas Gerais
99625,2020-10-27,Entre 28 a 36 anos,Iraí de Minas,Minas Gerais
99694,2021-02-09,Entre 62 a 70 anos,Nova Iguaçu,Rio de Janeiro
100067,2019-06-24,Entre 50 a 61 anos,Coronel João Sá,Bahia
101157,2019-08-24,Entre 62 a 70 anos,Tiros,Minas Gerais
101231,2020-05-29,Entre 28 a 36 anos,Teixeiras,Minas Gerais
101560,2020-03-09,Entre 22 a 27 anos,Siqueira Campos,Paraná
101683,2019-06-03,Entre 16 a 21 anos,Cururupu,Maranhão
101903,2020-03-19,Entre 50 a 61 anos,Trindade,Pernambuco
102264,2021-07-09,Entre 50 a 61 anos,Silves,Amazonas
102874,2020-11-11,Entre 16 a 21 anos,Faria Lemos,Minas Gerais
103285,2019-04-17,Entre 62 a 70 anos,Piumhi,Minas Gerais
103636,2019-09-11,Entre 22 a 27 anos,Iati,Pernambuco
104324,2020-05-06,Entre 10 a 15 anos,Anicuns,Goiás
104987,2019-07-02,Entre 50 a 61 anos,Anhanguera,Goiás
105037,2020-01-22,Entre 10 a 15 anos,Lagoinha do Piauí,Piauí
105715,2019-09-02,Entre 62 a 70 anos,Ariranha do Ivaí,Paraná
105931,2019-10-16,Entre 10 a 15 anos,Marabá,Pará
106265,2020-11-14,Entre 10 a 15 anos,Espírito Santo do Turvo,São Paulo
106316,2019-02-18,Entre 62 a 70 anos,Nova Esperança do Sul,Rio Grande do Sul
106810,2021-06-18,Entre 62 a 70 anos,Santa Branca,São Paulo
107025,2020-10-01,Entre 16 a 21 anos,Carmópolis,Sergipe
107257,2021-01-10,Mais de 70 anos,Esmeraldas,Minas Gerais
107291,2020-07-07,Entre 22 a 27 anos,Belmonte,Bahia
107944,2020-12-19,Entre 50 a 61 anos,Vilhena,Rondônia
108216,2020-05-09,Mais de 70 anos,Itabirinha,Minas Gerais
108284,2019-11-14,Entre 28 a 36 anos,Coronel Ezequiel,Rio Grande do Norte
108440,2019-12-03,Entre 10 a 15 anos,Mirangaba,Bahia
109106,2020-12-27,Entre 62 a 70 anos,Itumbiara,Goiás
109128,2020-01-28,Entre 16 a 21 anos,Cascavel,Paraná
109755,2019-06-27,Mais de 70 anos,Águas Formosas,Minas Gerais
109860,2019-01-19,Entre 10 a 15 anos,Ilha Solteira,São Paulo
111170,2019-01-15,Mais de 70 anos,Manoel Viana,Rio Grande do Sul
111327,2021-06-27,Entre 62 a 70 anos,Manoel Vitorino,Bahia
111424,2019-03-04,Entre 28 a 36 anos,Votuporanga,São Paulo
112333,2019-12-04,Entre 28 a 36 anos,Novo Oriente do Piauí,Piauí
112339,2020-01-26,Entre 10 a 15 anos,Vermelho Novo,Minas Gerais
112650,2021-07-24,Entre 37 a 49 anos,São João do Soter,Maranhão
113360,2020-12-17,Entre 10 a 15 anos,Vargem Grande do Sul,São Paulo
114007,2020-05-03,Entre 62 a 70 anos,São Valentim,Rio Grande do Sul
114415,2021-02-08,Entre 62 a 70 anos,Cambuci,Rio de Janeiro
114417,2020-11-22,Entre 50 a 61 anos,Teófilo Otoni,Minas Gerais
114775,2020-08-09,Mais de 70 anos,São João do Carú,Maranhão
115032,2019-10-13,Entre 62 a 70 anos,Bom Princípio,Rio Grande do Sul
115036,2020-06-26,Entre 22 a 27 anos,Floresta,Pernambuco
115202,2020-09-10,Entre 50 a 61 anos,Água Doce,Santa Catarina
115617,2019-09-09,Entre 22 a 27 anos,Vila Lângaro,Rio Grande do Sul
115911,2021-05-01,Entre 28 a 36 anos,Encruzilhada,Bahia
116325,2020-02-23,Entre 16 a 21 anos,Itapiranga,Santa Catarina
116597,2019-02-15,Entre 62 a 70 anos,Inhambupe,Bahia
116922,2019-05-03,Entre 16 a 21 anos,Dueré,Tocantins
117070,2020-10-06,Entre 16 a 21 anos,Damolândia,Goiás
117330,2019-05-17,Entre 28 a 36 anos,Vila Flores,Rio Grande do Sul
118226,2020-02-23,Entre 37 a 49 anos,Santo Antônio do Leste,Mato Grosso
118389,2021-06-26,Entre 22 a 27 anos,Crato,Ceará
119342,2019-02-10,Entre 16 a 21 anos,Reserva,Paraná
119806,2019-11-08,Entre 50 a 61 anos,Curralinhos,Piauí
120304,2020-07-31,Entre 50 a 61 anos,São Salvador do Tocantins,Tocantins
120679,2019-02-16,Entre 50 a 61 anos,Capitólio,Minas Gerais
121381,2019-07-13,Entre 28 a 36 anos,Goiatins,Tocantins
121964,2020-12-12,Entre 28 a 36 anos,Dilermando de Aguiar,Rio Grande do Sul
122173,2019-03-15,Mais de 70 anos,Xanxerê,Santa Catarina
122830,2020-11-16,Entre 50 a 61 anos,São Miguel Arcanjo,São Paulo
123195,2019-07-18,Entre 16 a 21 anos,Aracruz,Espírito Santo
123326,2019-01-10,Mais de 70 anos,Riachão do Jacuípe,Bahia
123350,2019-05-25,Entre 28 a 36 anos,Panambi,Rio Grande do Sul
123602,2021-05-05,Mais de 70 anos,Valença,Rio de Janeiro
124194,2019-12-05,Mais de 70 anos,Candeias,Bahia
124410,2020-09-04,Entre 28 a 36 anos,Fagundes Varela,Rio Grande do Sul
125136,2019-03-07,Mais de 70 anos,Matinhos,Paraná
